id,pic,line,x0,y0,x1,y1,w0,c_gray,red,green,blue,alpha
74,1,3,596,354,613,353,7.3848124,0,0,0,0,0
75,1,3,613,353,623,351,5.8099136,0,0,0,0,0
76,1,3,623,351,633,343,4.4395065,0,0,0,0,0
77,1,3,633,343,647,328,4.0,0,0,0,0,0
78,1,4,701,247,717,204,5.5779514,0,0,0,0,0
79,1,4,717,204,719,192,6.124283,0,0,0,0,0
80,1,4,719,192,720,184,6.7835426,0,0,0,0,0
81,1,4,720,184,714,194,8.272983,0,0,0,0,0
82,1,4,714,194,695,237,8.64229,0,0,0,0,0
83,1,4,695,237,677,299,8.631913,0,0,0,0,0
84,1,4,677,299,669,334,7.8707113,0,0,0,0,0
85,1,4,669,334,663,359,5.7903795,0,0,0,0,0
86,1,4,663,359,662,360,4.7526555,0,0,0,0,0
87,1,4,662,360,659,344,4.0,0,0,0,0,0
88,1,5,645,314,635,299,5.10365,0,0,0,0,0
89,1,5,635,299,637,293,5.594433,0,0,0,0,0
90,1,5,637,293,648,288,5.8001466,0,0,0,0,0
91,1,5,648,288,667,283,5.913686,0,0,0,0,0
92,1,5,667,283,696,274,6.2451468,0,0,0,0,0
93,1,5,696,274,723,264,6.380662,0,0,0,0,0
94,1,5,723,264,740,258,6.7255526,0,0,0,0,0
95,1,5,740,258,747,261,7.3402514,0,0,0,0,0
96,1,5,747,261,747,277,7.6234894,0,0,0,0,0
97,1,5,747,277,740,311,6.7542424,0,0,0,0,0
98,1,5,740,311,735,328,4.6958857,0,0,0,0,0
99,1,5,735,328,733,332,4.0,0,0,0,0,0
100,1,6,755,270,769,235,5.1482115,0,0,0,0,0
101,1,6,769,235,772,228,5.0908313,0,0,0,0,0
102,1,6,772,228,771,231,4.7270174,0,0,0,0,0
103,1,6,771,231,769,236,4.0,0,0,0,0,0
104,1,7,769,294,765,322,5.2544255,0,0,0,0,0
105,1,7,765,322,763,340,5.8318887,0,0,0,0,0
106,1,7,763,340,767,332,6.167623,0,0,0,0,0
